status,run_name,quasi_identifiers,n_qi,insensitive_attributes_chosen,n_insensitive_chosen,attacker_knowledge,n_generalized_known_attrs,visible_levels,avg_stage1_equivalence_class_size,median_stage1_equivalence_class_size,avg_stage2_equivalence_class_size,median_stage2_equivalence_class_size,n_targets,linkage_summary_path,runtime_config_path,anonymized_path,anonymized_eval_path,auxiliary_path
success,adult_linkage_phase_curve__011,age|education|native-country|race|relationship|sex|workclass,7,capital-gain|capital-loss|hours-per-week|marital-status|occupation,5,age|education|native-country|race|relationship|sex|workclass|capital-gain|capital-loss|hours-per-week|marital-status|occupation,5,age:1|education:1|native-country:1|race:0|relationship:2|sex:0|workclass:1|capital-gain:0|capital-loss:0|hours-per-week:0|marital-status:0|occupation:0,1695.057627,1203.0,29.423729,3.0,295,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__011__known_age-education-native-country-race-relationship-sex-workclass-capital-gain-capital-loss-hours-per-week-marital-status-occupation__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__011.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__011.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__011.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__011__aux.csv
success,adult_linkage_phase_curve__012,age|education|native-country|race|relationship|sex|workclass,7,marital-status|occupation,2,age|education|native-country|race|relationship|sex|workclass|marital-status|occupation,5,age:1|education:1|native-country:1|race:0|relationship:2|sex:0|workclass:1|marital-status:0|occupation:0,1695.057627,1203.0,118.511864,45.0,295,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__012__known_age-education-native-country-race-relationship-sex-workclass-marital-status-occupation__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__012.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__012.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__012.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__012__aux.csv
success,adult_linkage_phase_curve__013,age|marital-status|native-country|occupation|race|sex|workclass,7,capital-loss,1,age|marital-status|native-country|occupation|race|sex|workclass|capital-loss,4,age:1|marital-status:0|native-country:1|occupation:2|race:0|sex:0|workclass:1|capital-loss:0,7033.050167,9232.0,1247.314381,818.0,299,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__013__known_age-marital-status-native-country-occupation-race-sex-workclass-capital-loss__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__013.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__013.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__013.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__013__aux.csv
success,adult_linkage_phase_curve__014,education|marital-status|native-country|occupation|race|relationship|workclass,7,age|capital-gain|capital-loss|hours-per-week,4,education|marital-status|native-country|occupation|race|relationship|workclass|age|capital-gain|capital-loss|hours-per-week,7,education:2|marital-status:1|native-country:1|occupation:2|race:2|relationship:1|workclass:1|age:0|capital-gain:0|capital-loss:0|hours-per-week:0,1197.619048,949.0,7.989796,2.0,294,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__014__known_education-marital-status-native-country-occupation-race-relationship-workclass-age-capital-gain-capital-loss-hours-per-week__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__014.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__014.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__014.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__014__aux.csv
success,adult_linkage_phase_curve__015,age|education|occupation|race|sex|workclass,6,capital-gain|capital-loss|hours-per-week|native-country|relationship,5,age|education|occupation|race|sex|workclass|capital-gain|capital-loss|hours-per-week|native-country|relationship,5,age:1|education:1|occupation:1|race:2|sex:0|workclass:1|capital-gain:0|capital-loss:0|hours-per-week:0|native-country:0|relationship:0,746.119355,439.0,40.109677,5.0,310,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__015__known_age-education-occupation-race-sex-workclass-capital-gain-capital-loss-hours-per-week-native-country-relationship__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__015.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__015.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__015.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__015__aux.csv
success,adult_linkage_phase_curve__016,age|marital-status|native-country|occupation|sex|workclass,6,capital-loss|education|hours-per-week|race|relationship,5,age|marital-status|native-country|occupation|sex|workclass|capital-loss|education|hours-per-week|race|relationship,4,age:1|marital-status:0|native-country:1|occupation:1|sex:0|workclass:1|capital-loss:0|education:0|hours-per-week:0|race:0|relationship:0,3258.583333,2409.0,45.82,4.0,300,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__016__known_age-marital-status-native-country-occupation-sex-workclass-capital-loss-education-hours-per-week-race-relationship__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__016.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__016.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__016.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__016__aux.csv
success,adult_linkage_phase_curve__017,age|marital-status|occupation|race|relationship|sex,6,capital-gain|capital-loss|education|hours-per-week|workclass,5,age|marital-status|occupation|race|relationship|sex|capital-gain|capital-loss|education|hours-per-week|workclass,3,age:1|marital-status:0|occupation:1|race:0|relationship:1|sex:0|capital-gain:0|capital-loss:0|education:0|hours-per-week:0|workclass:0,2803.175084,2962.0,60.40404,4.0,297,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__017__known_age-marital-status-occupation-race-relationship-sex-capital-gain-capital-loss-education-hours-per-week-workclass__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__017.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__017.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__017.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__017__aux.csv
success,adult_linkage_phase_curve__018,age|native-country|occupation|race|relationship|sex,6,,0,age|native-country|occupation|race|relationship|sex,3,age:1|native-country:1|occupation:1|race:0|relationship:0|sex:0,5756.751701,6682.0,1277.006803,634.0,294,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__018__known_age-native-country-occupation-race-relationship-sex__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__018.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__018.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__018.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__018__aux.csv
success,adult_linkage_phase_curve__019,education|marital-status|native-country|occupation|relationship|workclass,6,age|capital-gain|capital-loss|hours-per-week|race|sex,6,education|marital-status|native-country|occupation|relationship|workclass|age|capital-gain|capital-loss|hours-per-week|race|sex,5,education:2|marital-status:0|native-country:1|occupation:2|relationship:1|workclass:1|age:0|capital-gain:0|capital-loss:0|hours-per-week:0|race:0|sex:0,1617.186667,1288.0,4.756667,1.0,300,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__019__known_education-marital-status-native-country-occupation-relationship-workclass-age-capital-gain-capital-loss-hours-per-week-race-sex__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__019.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__019.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__019.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__019__aux.csv
success,adult_linkage_phase_curve__020,education|marital-status|occupation|race|relationship|sex,6,capital-gain|capital-loss|hours-per-week|native-country,4,education|marital-status|occupation|race|relationship|sex|capital-gain|capital-loss|hours-per-week|native-country,4,education:2|marital-status:1|occupation:2|race:2|relationship:0|sex:0|capital-gain:0|capital-loss:0|hours-per-week:0|native-country:0,2550.279461,1977.0,227.309764,31.0,297,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__020__known_education-marital-status-occupation-race-relationship-sex-capital-gain-capital-loss-hours-per-week-native-country__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__020.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__020.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__020.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__020__aux.csv
success,adult_linkage_phase_curve__021,education|marital-status|occupation|race|sex|workclass,6,capital-gain|capital-loss|native-country,3,education|marital-status|occupation|race|sex|workclass|capital-gain|capital-loss|native-country,5,education:1|marital-status:2|occupation:2|race:2|sex:0|workclass:1|capital-gain:0|capital-loss:0|native-country:0,854.787781,717.0,374.823151,203.0,311,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__021__known_education-marital-status-occupation-race-sex-workclass-capital-gain-capital-loss-native-country__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__021.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__021.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__021.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__021__aux.csv
success,adult_linkage_phase_curve__022,education|native-country|occupation|race|relationship|workclass,6,age,1,education|native-country|occupation|race|relationship|workclass|age,5,education:1|native-country:1|occupation:2|race:0|relationship:2|workclass:1|age:0,937.268456,647.0,21.879195,12.0,298,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__022__known_education-native-country-occupation-race-relationship-workclass-age__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__022.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__022.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__022.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__022__aux.csv
success,adult_linkage_phase_curve__023,native-country|occupation|race|relationship|sex|workclass,6,capital-gain|education,2,native-country|occupation|race|relationship|sex|workclass|capital-gain|education,4,native-country:1|occupation:2|race:2|relationship:0|sex:0|workclass:1|capital-gain:0|education:0,6159.516667,8192.0,330.526667,143.5,300,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__023__known_native-country-occupation-race-relationship-sex-workclass-capital-gain-education__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__023.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__023.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__023.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__023__aux.csv
success,adult_linkage_phase_curve__024,age|marital-status|native-country|occupation|relationship,5,sex|workclass,2,age|marital-status|native-country|occupation|relationship|sex|workclass,3,age:1|marital-status:0|native-country:1|occupation:1|relationship:0|sex:0|workclass:0,5966.353535,6842.0,850.434343,362.0,297,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\attacks\linkage\adult_linkage_phase_curve__024__known_age-marital-status-native-country-occupation-relationship-sex-workclass__targets_all__seed_42\summary.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\configs\adult_linkage_phase_curve__024.json,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized\adult_linkage_phase_curve__024.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\anonymized_eval\adult_linkage_phase_curve__024.csv,C:\Users\Louis\TER\TER_v2\ter_benchmark_starter_branch_14_04\outputs\linkage_phase_curve\auxiliary\adult_linkage_phase_curve__024__aux.csv
